scene	level	neighbors	direct_chunk_count	neighbor_chunk_count	direct_chunks	neighbor_chunks
Abyss_02	328	Abyss_01,Abyss_03	1	2	94	93,94
Abyss_03	329	Abyss_02,Abyss_04,Abyss_17	1	4	94	94,95,98,164
Abyss_03_b	330	Deepnest_37	1	1	94	87
Abyss_03_c	331	Deepnest_East_01,Hive_01	1	4	94	89,105,162,169
Abyss_04	332	Abyss_03,Abyss_05,Abyss_06_Core,Abyss_18	2	4	94,95	94,95,98,164
Abyss_05	333	Abyss_04,Abyss_22	1	3	95	94,95,99
Abyss_06_Core	334	Abyss_04,Abyss_08,Abyss_12,Abyss_15,Abyss_16	2	5	95,164	94,95,96,97,98
Abyss_08	335	Abyss_06_Core	2	2	95,96	95,164
Abyss_09	336	Abyss_10,Abyss_16,Abyss_Lighthouse_room	3	5	96,97,164	97,98,99,164,165
Abyss_10	337	Abyss_09	2	3	97,164	96,97,164
Abyss_12	338	Abyss_06_Core	2	2	97,98	95,164
Abyss_15	339	Abyss_06_Core	1	2	98	95,164
Abyss_16	340	Abyss_06_Core,Abyss_09	1	4	98	95,96,97,164
Abyss_17	341	Abyss_03	2	1	98,164	94
Abyss_18	342	Abyss_04,Abyss_19	1	4	98	94,95,98,164
Abyss_19	343	Abyss_18,Abyss_20,Abyss_21	2	3	98,164	98,99,164
Abyss_20	344	Abyss_19	3	2	98,99,164	98,164
Abyss_21	345	Abyss_19	1	2	99	98,164
Abyss_22	346	Abyss_05	1	1	99	95
Abyss_Lighthouse_room	347	Abyss_09	3	3	99,164,165	96,97,164
Room_Queen	348	Fungus3_48	3	1	99,100,165	74
Waterways_01	349	Ruins1_05b,Waterways_02,Waterways_03,Waterways_04	2	6	100,165	51,52,100,101,165,207
Waterways_02	350	Waterways_01,Waterways_04,Waterways_05,Waterways_06,Waterways_08	3	4	100,101,165	100,101,102,165
Waterways_03	351	Waterways_01	2	2	101,165	100,165
Waterways_04	352	Waterways_01,Waterways_02,Waterways_04b	1	3	101	100,101,165
Waterways_04b	353	Waterways_04,Waterways_09	1	2	101	101,102
Waterways_05	354	Abyss_01,Waterways_02,Waterways_15	3	8	101,102,165	93,94,100,101,102,103,165,167
Waterways_05_boss	355		3	0	102,165,166	
Waterways_06	356	Abyss_01,Waterways_02	1	5	102	93,94,100,101,165
Waterways_07	357	Abyss_01,Ruins_House_03,Waterways_13,Waterways_14	1	5	102	48,93,94,102,206
Waterways_08	358	GG_Pipeway,Waterways_02,Waterways_12	1	7	102	100,101,102,124,125,165,194
Waterways_09	359	Fungus2_23,Waterways_04b	1	4	102	69,101,154,155
Waterways_12	360	Waterways_08	1	1	102	102
Waterways_12_boss	361		2	0	102,167	
Waterways_13	362	Waterways_07	1	1	102	102
Waterways_14	363	Deepnest_East_02,Waterways_07	1	2	102	89,102
Waterways_15	364	Waterways_05	3	3	102,103,167	101,102,165
White_Palace_01	365	White_Palace_02,White_Palace_03_hub,White_Palace_11	3	3	103,167,168	103,104,168
White_Palace_02	366	White_Palace_01	2	3	103,168	103,167,168
White_Palace_03_hub	367	White_Palace_01,White_Palace_04,White_Palace_06,White_Palace_14,White_Palace_15	3	5	103,104,168	103,104,105,167,168
White_Palace_04	368	White_Palace_03_hub,White_Palace_14	2	3	104,168	103,104,168
White_Palace_05	369	White_Palace_15,White_Palace_16	1	2	104	104,105
White_Palace_06	370	White_Palace_03_hub,White_Palace_07,White_Palace_18	1	4	104	103,104,105,168
White_Palace_07	371	White_Palace_06,White_Palace_12	2	1	104,168	104
White_Palace_08	372	White_Palace_13	1	1	104	104
White_Palace_09	373	White_Palace_13	2	1	104,168	104
White_Palace_11	374	White_Palace_01	1	3	104	103,167,168
White_Palace_12	375	White_Palace_07,White_Palace_13	1	2	104	104,168
White_Palace_13	376	White_Palace_08,White_Palace_09,White_Palace_12	1	2	104	104,168
White_Palace_14	377	White_Palace_03_hub,White_Palace_04	1	3	104	103,104,168
White_Palace_15	378	White_Palace_03_hub,White_Palace_05	2	3	104,105	103,104,168
White_Palace_16	379	White_Palace_05	1	1	105	104
White_Palace_17	380	White_Palace_18,White_Palace_19	3	1	105,168,169	105
White_Palace_18	381	White_Palace_06,White_Palace_17	1	4	105	104,105,168,169
White_Palace_19	382	White_Palace_17,White_Palace_20	1	3	105	105,168,169
White_Palace_20	383	White_Palace_19	2	1	105,169	105
Hive_01	384	Abyss_03_c,Hive_02	2	2	105,169	94,105
Hive_02	385	Hive_01,Hive_03_c	1	2	105	105,169
Hive_03	386	Deepnest_East_02,Hive_03_c,Hive_04	2	2	105,169	89,105
Hive_03_c	387	Deepnest_East_01,Hive_02,Hive_03,Hive_04	1	4	105	89,105,162,169
Hive_04	388	Hive_03,Hive_03_c,Hive_05	1	3	105	105,106,169
Hive_05	389	Hive_04	3	1	105,106,169	105
Grimm_Divine	390	Town	2	4	106,170	15,16,202,203
Grimm_Main_Tent	391	Town	3	4	106,107,170	15,16,202,203
Grimm_Main_Tent_boss	392		3	0	107,108,170	
Grimm_Nightmare	393		4	0	108,109,170,171	
Dream_Nailcollection	394		4	0	109,110,171,172	
Dream_01_False_Knight	395		2	0	110,172	
Dream_02_Mage_Lord	396		1	0	110	
Dream_03_Infected_Knight	397		1	0	110	
Dream_04_White_Defender	398		3	0	110,111,172	
Dream_Mighty_Zote	399		3	0	111,172,173	
Dream_Guardian_Hegemol	400		4	0	111,112,173,174	
Dream_Guardian_Lurien	401		1	0	112	
Dream_Guardian_Monomon	402		1	0	112	
Cutscene_Boss_Door	403		3	0	112,113,174	
Dream_Backer_Shrine	404		1	0	113	
Dream_Room_Believer_Shrine	405		1	0	113	
Dream_Abyss	406		2	0	113,174	
Dream_Final_Boss	407		4	0	113,114,115,174	
Room_Final_Boss_Atrium	408		3	0	115,174,175	
Room_Final_Boss_Core	409		5	0	115,116,117,118,175	
Cinematic_Ending_A	410		4	0	118,175,176,177	
Cinematic_Ending_B	411		4	0	118,177,178,179	
Cinematic_Ending_C	412		6	0	118,179,180,181,182,183	
Cinematic_Ending_D	413		5	0	118,183,184,185,186	
Cinematic_Ending_E	414		6	0	118,186,187,188,189,190	
End_Credits	415		1	0	118	
Cinematic_MrMushroom	416		3	0	118,190,191	
Menu_Credits	417		1	0	118	
End_Game_Completion	418		1	0	118	
PermaDeath	419		1	0	118	
_test_cocoon_2	420		1	0	118	
PermaDeath_Unlock	421		1	0	118	
_test_cocoon_1	422		1	0	118	
GG_Waterways	423	GG_Pipeway,Room_GG_Shortcut	2	5	118,191	124,125,127,194,195
GG_Atrium	424		5	0	118,119,120,191,192	
GG_Broken_Vessel	425		3	0	120,192,193	
GG_Brooding_Mawlek	426		1	0	120	
GG_Collector	427		2	0	120,193	
GG_Crystal_Guardian	428		2	0	120,193	
GG_Crystal_Guardian_2	429		1	0	120	
GG_Dung_Defender	430		1	0	120	
GG_Failed_Champion	431		1	0	120	
GG_False_Knight	432		1	0	120	
GG_Flukemarm	433		1	0	120	
GG_Ghost_Galien	434		1	0	120	
GG_Ghost_Gorb	435		1	0	120	
GG_Ghost_Hu	436		1	0	120	
GG_Ghost_Markoth	437		1	0	120	
GG_Ghost_Marmu	438		1	0	120	
GG_Ghost_No_Eyes	439		1	0	120	
GG_Ghost_Xero	440		1	0	120	
GG_God_Tamer	441		1	0	120	
GG_Grey_Prince_Zote	442		1	0	120	
GG_Grimm	443		1	0	120	
GG_Grimm_Nightmare	444		1	0	120	
GG_Gruz_Mother	445		1	0	120	
GG_Hive_Knight	446		1	0	120	
GG_Hollow_Knight	447		4	0	120,121,122,194	
GG_Hornet_1	448		1	0	122	
GG_Hornet_2	449		1	0	122	
GG_Lost_Kin	450		1	0	122	
GG_Lurker	451	Room_Colosseum_Spectate	3	2	122,123,194	36,165
GG_Mantis_Lords	452		2	0	123,194	
GG_Mega_Moss_Charger	453		1	0	123	
GG_Nailmasters	454		3	0	123,124,194	
GG_Nosk	455		1	0	124	
GG_Oblobbles	456		1	0	124	
GG_Painter	457		2	0	124,194	
GG_Pipeway	458	GG_Waterways,Waterways_08	3	3	124,125,194	102,118,191
GG_Radiance	459		3	0	125,194,195	
GG_Sly	460		3	0	125,126,195	
GG_Soul_Master	461		1	0	126	
GG_Soul_Tyrant	462		1	0	126	
GG_Spa	463		1	0	126	
GG_Traitor_Lord	464		1	0	126	
GG_Unlock	465		1	0	126	
GG_Uumuu	466		1	0	126	
GG_Vengefly	467		1	0	126	
GG_Watcher_Knights	468		1	0	126	
GG_White_Defender	469		1	0	126	
GG_Workshop	470		3	0	126,127,195	
Room_GG_Shortcut	471	GG_Waterways,Ruins1_04	2	5	127,195	50,51,118,191,207
GG_End_Sequence	472		3	0	127,128,195	
GG_Atrium_Roof	473		2	0	128,195	
GG_Blue_Room	474		2	0	128,195	
GG_Engine	475		2	0	128,195	
GG_Engine_Prime	476		1	0	128	
GG_Engine_Root	477		2	0	128,195	
GG_Mage_Knight	478		1	0	128	
GG_Vengefly_V	479		1	0	128	
GG_Entrance_Cutscene	480		2	0	128,196	
GG_Mighty_Zote	481		3	0	128,129,196	
GG_Land_of_Storms	482		2	0	129,196	
GG_Boss_Door_Entrance	483		1	0	129	
GG_Gruz_Mother_V	484		1	0	129	
GG_Brooding_Mawlek_V	485		2	0	129,196	
GG_Mantis_Lords_V	486		2	0	129,196	
GG_Nosk_Hornet	487		1	0	129	
GG_Uumuu_V	488		1	0	129	
GG_Ghost_Gorb_V	489		1	0	129	
GG_Ghost_Markoth_V	490		1	0	129	
GG_Ghost_Marmu_V	491		1	0	129	
GG_Ghost_No_Eyes_V	492		1	0	129	
GG_Ghost_Xero_V	493		2	0	129,130	
GG_Mage_Knight_V	494		2	0	129,130	
GG_Collector_V	495		1	0	130	
GG_Nosk_V	496		1	0	130	
GG_Wyrm	497		1	0	130	
GG_Unn	498		1	0	130	
GG_Door_5_Finale	499		1	0	130	
GG_Unlock_Wastes	500		2	0	130,200	
